pau
sil
aa
ae
ah
ao
aw
ax
ay
b
ch
d
dh
eh
er
ey
f
g
hh
ih
iy
jh
k
l
m
n
ng
ow
oy
p
q
r
s
sh
t
th
uh
uw
v
w
y
z
zh
